,Job title,Job link,city,Seniority level,Employment type,Job function,Industries
0,"Data Scientist (Deep Learning), Peacock",https://www.linkedin.com/jobs/view/data-scientist-deep-learning-peacock-at-peacock-3390271556?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=cUa0lob2mctTVhL1Bbfgiw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"New York, NY",Associate,Full-time,Science,"Broadcast Media Production and Distribution, Entertainment Providers, and Media Production"
1,Jr. Data Scientist,https://www.linkedin.com/jobs/view/jr-data-scientist-at-umortgage-3390546094?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=A%2FQxQCHvXQAhJkIQGf%2BdfA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Greater Philadelphia,Associate,Full-time,"Engineering, Information Technology, and Science",Financial Services
2,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-amicus-3390225272?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=t0ZFb2y3cIW3xalvFpFseg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"New York, NY",Mid-Senior level,Full-time,Engineering and Information Technology,Staffing and Recruiting
3,Data Scientist - Marketing Analytics,https://www.linkedin.com/jobs/view/data-scientist-marketing-analytics-at-spotify-3389123049?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=7G%2BdTR1Bp4ZA8hlq9d%2BeDw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"New York, NY",Entry level,Full-time,Engineering and Information Technology,Musicians
4,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-catalist-3388937849?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=g4lyhKG5yIUHFIH0guRaHg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Washington, DC",Not Applicable,Full-time,Analyst,"Technology, Information and Internet"
5,Junior Machine Learning Engineer,https://www.linkedin.com/jobs/view/junior-machine-learning-engineer-at-synergisticit-3405505692?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=6lTBqeR2Sqpa4G8s8rImOA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Jersey City, NJ",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
6,Junior Data Scientist,https://www.linkedin.com/jobs/view/junior-data-scientist-at-dezign-concepts-3397791667?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=7brI19InTHKFUj02gmP2uA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"McLean, VA",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
7,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-shtudy-3392938665?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=KcUVBEmtK2zghGjyCpqJxw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Washington, DC",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
8,"Data Scientist, Jr.",https://www.linkedin.com/jobs/view/data-scientist-jr-at-altamira-technologies-corporation-3400978424?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=b5WfncX2OeEnue7BmmpGUQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Fort Bragg, NC",Entry level,Full-time,Engineering and Information Technology,Internet Publishing
9,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-algo-capital-group-3386004536?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=P8bV06TGw7%2FZE5VeXVm0hw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"New York, United States",Mid-Senior level,Full-time,"Information Technology, Finance, and Engineering","IT Services and IT Consulting, Capital Markets, and Financial Services"
